date,pool_name,blocks_mined,share
2023-01-15,Poolin,3,0.018404907975460124
2023-01-15,F2Pool,19,0.1165644171779141
2023-01-15,Mara Pool,2,0.012269938650306749
2023-01-15,ViaBTC,15,0.09202453987730061
2023-01-15,BTC.com,5,0.03067484662576687
2023-01-15,Luxor,2,0.012269938650306749
2023-01-15,Unknown,2,0.012269938650306749
2023-01-15,Kucoin,3,0.018404907975460124
2023-01-16,BTC M4,1,0.006802721088435374
2023-01-16,ViaBTC,11,0.07482993197278912
2023-01-16,Binance Pool,15,0.10204081632653061
2023-01-16,F2Pool,21,0.14285714285714285
2023-01-16,Luxor,2,0.013605442176870748
2023-01-16,Braiins Pool,4,0.027210884353741496
2023-01-16,Poolin,1,0.006802721088435374
2023-01-16,Mara Pool,1,0.006802721088435374
2023-01-16,Foundry USA,53,0.36054421768707484
2023-01-16,BTC.com,3,0.02040816326530612
2023-01-16,Ultimus,2,0.013605442176870748
2023-01-16,AntPool,33,0.22448979591836735
2023-01-17,AntPool,29,0.1858974358974359
2023-01-17,Ultimus,3,0.019230769230769232
2023-01-17,Binance Pool,13,0.08333333333333333
2023-01-17,F2Pool,25,0.16025641025641027
2023-01-17,BTC.com,5,0.03205128205128205
2023-01-17,Luxor,4,0.02564102564102564
2023-01-17,Kucoin,1,0.00641025641025641
2023-01-17,ViaBTC,15,0.09615384615384616
2023-01-17,Mara Pool,1,0.00641025641025641
2023-01-17,Poolin,6,0.038461538461538464
2023-01-17,Braiins Pool,3,0.019230769230769232
2023-01-17,Foundry USA,51,0.3269230769230769
2023-01-18,BTC.com,3,0.02142857142857143
2023-01-18,Mara Pool,2,0.014285714285714285
2023-01-18,Poolin,1,0.007142857142857143
2023-01-18,Unknown,3,0.02142857142857143
2023-01-18,Braiins Pool,5,0.03571428571428571
2023-01-18,Ultimus,3,0.02142857142857143
2023-01-18,Binance Pool,17,0.12142857142857143
2023-01-18,ViaBTC,12,0.08571428571428572
2023-01-18,AntPool,27,0.19285714285714287
2023-01-18,Luxor,3,0.02142857142857143
2023-01-18,SBI Crypto,1,0.007142857142857143
2023-01-18,F2Pool,15,0.10714285714285714
2023-01-18,Foundry USA,48,0.34285714285714286
2023-01-19,Binance Pool,17,0.11724137931034483
2023-01-19,Foundry USA,42,0.2896551724137931
2023-01-19,AntPool,31,0.21379310344827587
2023-01-19,Ultimus,1,0.006896551724137931
2023-01-19,ViaBTC,11,0.07586206896551724
2023-01-19,Luxor,4,0.027586206896551724
2023-01-19,Unknown,2,0.013793103448275862
2023-01-19,SBI Crypto,2,0.013793103448275862
2023-01-19,F2Pool,20,0.13793103448275862
2023-01-19,Poolin,5,0.034482758620689655
2023-01-19,1THash,1,0.006896551724137931
2023-01-19,Mara Pool,4,0.027586206896551724
2023-01-19,Braiins Pool,1,0.006896551724137931
2023-01-19,BTC.com,4,0.027586206896551724
2023-01-20,Foundry USA,40,0.30303030303030304
2023-01-20,AntPool,23,0.17424242424242425
2023-01-20,ViaBTC,9,0.06818181818181818
2023-01-20,Binance Pool,20,0.15151515151515152
2023-01-20,Poolin,4,0.030303030303030304
2023-01-20,BTC.com,7,0.05303030303030303
2023-01-20,Ultimus,1,0.007575757575757576
2023-01-20,Braiins Pool,2,0.015151515151515152
2023-01-20,Luxor,3,0.022727272727272728
2023-01-20,Solo CKPool,1,0.007575757575757576
2023-01-20,F2Pool,20,0.15151515151515152
2023-01-20,Mara Pool,2,0.015151515151515152
2023-01-21,Ultimus,3,0.021739130434782608
2023-01-21,Mara Pool,1,0.007246376811594203
2023-01-21,Kucoin,1,0.007246376811594203
2023-01-21,SBI Crypto,3,0.021739130434782608
2023-01-21,Braiins Pool,4,0.028985507246376812
2023-01-21,BTC.com,2,0.014492753623188406
2023-01-21,ViaBTC,8,0.057971014492753624
2023-01-21,Binance Pool,14,0.10144927536231885
2023-01-21,AntPool,27,0.1956521739130435
2023-01-21,F2Pool,17,0.12318840579710146
2023-01-21,Foundry USA,54,0.391304347826087
2023-01-21,Poolin,4,0.028985507246376812
2023-01-22,Ultimus,4,0.026490066225165563
2023-01-22,Foundry USA,41,0.271523178807947
2023-01-22,Binance Pool,23,0.152317880794702
2023-01-22,F2Pool,19,0.12582781456953643
2023-01-22,AntPool,27,0.17880794701986755
2023-01-22,BTC.com,8,0.052980132450331126
2023-01-22,Braiins Pool,2,0.013245033112582781
2023-01-22,Poolin,6,0.039735099337748346
2023-01-22,Luxor,2,0.013245033112582781
2023-01-22,Unknown,1,0.006622516556291391
2023-01-22,Mara Pool,2,0.013245033112582781
2023-01-22,ViaBTC,16,0.10596026490066225
2023-01-23,F2Pool,24,0.1518987341772152
2023-01-23,Foundry USA,59,0.37341772151898733
2023-01-23,SBI Crypto,1,0.006329113924050633
2023-01-23,BTC.com,2,0.012658227848101266
2023-01-23,Binance Pool,18,0.11392405063291139
2023-01-23,Kucoin,2,0.012658227848101266
2023-01-23,BTC M4,2,0.012658227848101266
2023-01-23,Unknown,3,0.0189873417721519
2023-01-23,Luxor,1,0.006329113924050633
2023-01-23,Ultimus,1,0.006329113924050633
2023-01-23,Braiins Pool,4,0.02531645569620253
2023-01-23,ViaBTC,9,0.056962025316455694
2023-01-23,AntPool,28,0.17721518987341772
2023-01-23,Mara Pool,3,0.0189873417721519
2023-01-23,Poolin,1,0.006329113924050633
2023-01-24,SBI Crypto,1,0.007751937984496124
2023-01-24,Luxor,2,0.015503875968992248
2023-01-24,Foundry USA,46,0.35658914728682173
2023-01-24,BTC.com,3,0.023255813953488372
2023-01-24,Unknown,1,0.007751937984496124
2023-01-24,Mara Pool,2,0.015503875968992248
2023-01-24,Ultimus,4,0.031007751937984496
2023-01-24,F2Pool,16,0.12403100775193798
2023-01-24,Kucoin,2,0.015503875968992248
2023-01-24,Binance Pool,17,0.13178294573643412
2023-01-24,AntPool,22,0.17054263565891473
2023-01-24,ViaBTC,9,0.06976744186046512
2023-01-24,Poolin,2,0.015503875968992248
2023-01-24,Braiins Pool,2,0.015503875968992248
2023-01-25,Unknown,1,0.005714285714285714
2023-01-25,Mara Pool,3,0.017142857142857144
2023-01-25,Ultimus,2,0.011428571428571429
2023-01-25,SBI Crypto,2,0.011428571428571429
2023-01-25,BTC M4,1,0.005714285714285714
2023-01-25,BTC.com,3,0.017142857142857144
2023-01-25,F2Pool,34,0.19428571428571428
2023-01-25,Binance Pool,25,0.14285714285714285
2023-01-25,AntPool,29,0.1657142857142857
2023-01-25,Foundry USA,51,0.2914285714285714
2023-01-25,Poolin,6,0.03428571428571429
2023-01-25,ViaBTC,13,0.07428571428571429
2023-01-25,Kucoin,2,0.011428571428571429
2023-01-25,Braiins Pool,3,0.017142857142857144
2023-01-26,Binance Pool,13,0.08387096774193549
2023-01-26,Braiins Pool,7,0.04516129032258064
2023-01-26,ViaBTC,15,0.0967741935483871
2023-01-26,Foundry USA,56,0.36129032258064514
2023-01-26,AntPool,24,0.15483870967741936
2023-01-26,BTC.com,5,0.03225806451612903
2023-01-26,Poolin,2,0.012903225806451613
2023-01-26,Mara Pool,4,0.025806451612903226
2023-01-26,Luxor,1,0.0064516129032258064
2023-01-26,SBI Crypto,3,0.01935483870967742
2023-01-26,F2Pool,21,0.13548387096774195
2023-01-26,Unknown,4,0.025806451612903226
2023-01-27,Mara Pool,1,0.006493506493506494
2023-01-27,Poolin,3,0.01948051948051948
2023-01-27,BTC M19,1,0.006493506493506494
2023-01-27,F2Pool,19,0.12337662337662338
2023-01-27,ViaBTC,14,0.09090909090909091
2023-01-27,AntPool,31,0.2012987012987013
2023-01-27,Binance Pool,21,0.13636363636363635
2023-01-27,BTC M4,1,0.006493506493506494
2023-01-27,Luxor,1,0.006493506493506494
2023-01-27,Braiins Pool,3,0.01948051948051948
2023-01-27,SBI Crypto,3,0.01948051948051948
2023-01-27,Foundry USA,56,0.36363636363636365
2023-01-28,BTC.com,6,0.03571428571428571
2023-01-28,Unknown,1,0.005952380952380952
2023-01-28,Binance Pool,14,0.08333333333333333
2023-01-28,Luxor,3,0.017857142857142856
2023-01-28,F2Pool,21,0.125
2023-01-28,AntPool,36,0.21428571428571427
2023-01-28,ViaBTC,15,0.08928571428571429
2023-01-28,Foundry USA,57,0.3392857142857143
2023-01-28,Braiins Pool,4,0.023809523809523808
2023-01-28,Ultimus,3,0.017857142857142856
2023-01-28,Mara Pool,3,0.017857142857142856
2023-01-28,SBI Crypto,4,0.023809523809523808
2023-01-28,Poolin,1,0.005952380952380952
2023-01-29,Binance Pool,23,0.14285714285714285
2023-01-29,SBI Crypto,1,0.006211180124223602
2023-01-29,Mara Pool,2,0.012422360248447204
2023-01-29,Braiins Pool,4,0.024844720496894408
2023-01-29,AntPool,33,0.20496894409937888
2023-01-29,F2Pool,18,0.11180124223602485
2023-01-29,Unknown,2,0.012422360248447204
2023-01-29,BTC.com,3,0.018633540372670808
2023-01-29,Poolin,5,0.031055900621118012
2023-01-29,Kucoin,3,0.018633540372670808
2023-01-29,BTC M4,1,0.006211180124223602
2023-01-29,ViaBTC,16,0.09937888198757763
2023-01-29,Foundry USA,50,0.3105590062111801
2023-01-30,F2Pool,22,0.15942028985507245
2023-01-30,Mara Pool,1,0.007246376811594203
2023-01-30,Binance Pool,18,0.13043478260869565
2023-01-30,Luxor,1,0.007246376811594203
2023-01-30,Poolin,2,0.014492753623188406
2023-01-30,Ultimus,3,0.021739130434782608
2023-01-30,BTC M4,3,0.021739130434782608
2023-01-30,Foundry USA,50,0.36231884057971014
2023-01-30,BTC.com,3,0.021739130434782608
2023-01-30,AntPool,22,0.15942028985507245
2023-01-30,ViaBTC,7,0.050724637681159424
