date,miner_id,pool_name,daily_share,cost_usd_per_day
2023-01-18,0,Foundry USA,0.3428571429,3672976.8395643719
2023-01-19,5,Binance Pool,0.1172413793,1279651.4441675514
2023-01-19,0,Foundry USA,0.2896551724,3161491.8033658876
2023-01-19,1,AntPool,0.2137931034,2333482.0449256911
2023-01-19,3,ViaBTC,0.0758620690,828009.7584401963
2023-01-19,2,Unknown,0.0137931034,150547.2282119625
2023-01-19,7,SBI Crypto,0.0137931034,150547.2282119625
2023-01-19,4,F2Pool,0.1379310345,1505472.2875769625
2023-01-19,10,Poolin,0.0344827586,376368.0716213738
2023-01-19,6,Mara Pool,0.0275862069,301094.4575153925
2023-01-19,8,Braiins Pool,0.0068965517,75273.6141059813
2023-01-19,9,BTC.com,0.0275862069,301094.4575153925
2023-01-20,0,Foundry USA,0.3030303030,3364956.8933660025
2023-01-20,1,AntPool,0.1742424242,1934850.2134078424
2023-01-20,3,ViaBTC,0.0681818182,757115.3012849594
2023-01-20,5,Binance Pool,0.1515151515,1682478.4466830012
2023-01-20,10,Poolin,0.0303030303,336495.6893366002
2023-01-20,9,BTC.com,0.0530303030,588867.4560614415
2023-01-20,8,Braiins Pool,0.0151515152,168247.8452235180
2023-01-20,4,F2Pool,0.1515151515,1682478.4466830012
2023-01-20,6,Mara Pool,0.0151515152,168247.8452235180
2023-01-21,6,Mara Pool,0.0072463768,81752.8027901605
2023-01-21,12,Kucoin,0.0072463768,81752.8027901605
2023-01-21,7,SBI Crypto,0.0217391304,245258.4083704816
2023-01-21,8,Braiins Pool,0.0289855072,327011.2111606422
2023-01-21,9,BTC.com,0.0144927536,163505.6055803211
2023-01-21,3,ViaBTC,0.0579710145,654022.4234494730
2023-01-21,5,Binance Pool,0.1014492754,1144539.2413186247
2023-01-21,1,AntPool,0.1956521739,2207325.6787189003
2023-01-21,4,F2Pool,0.1231884058,1389797.6496891065
2023-01-21,0,Foundry USA,0.3913043478,4414651.3574378006
2023-01-21,10,Poolin,0.0289855072,327011.2111606422
2023-01-22,0,Foundry USA,0.2715231788,3105902.6462274301
2023-01-22,5,Binance Pool,0.1523178808,1742335.6309221077
2023-01-22,4,F2Pool,0.1258278146,1439320.7388862320
2023-01-22,1,AntPool,0.1788079470,2045350.5229579837
2023-01-22,9,BTC.com,0.0529801325,606029.7852156329
2023-01-22,8,Braiins Pool,0.0132450331,151507.4460179379
2023-01-22,10,Poolin,0.0397350993,454522.3380538137
2023-01-22,2,Unknown,0.0066225166,75753.7235809096
2023-01-22,6,Mara Pool,0.0132450331,151507.4460179379
2023-01-22,3,ViaBTC,0.1059602649,1212059.5692873846
2023-01-23,4,F2Pool,0.1518987342,1742867.1473586119
2023-01-23,0,Foundry USA,0.3734177215,4284548.4030627143
2023-01-23,7,SBI Crypto,0.0063291139,72619.4641864286
2023-01-23,9,BTC.com,0.0126582278,145238.9283728572
2023-01-23,5,Binance Pool,0.1139240506,1307150.3599452653
2023-01-23,12,Kucoin,0.0126582278,145238.9283728572
2023-01-23,11,BTC M4,0.0126582278,145238.9283728572
2023-01-23,2,Unknown,0.0189873418,217858.3937066734
2023-01-23,8,Braiins Pool,0.0253164557,290477.8578931020
2023-01-23,3,ViaBTC,0.0569620253,653575.1799726327
2023-01-23,1,AntPool,0.1772151899,2033345.0052517138
2023-01-23,6,Mara Pool,0.0189873418,217858.3937066734
2023-01-23,10,Poolin,0.0063291139,72619.4641864286
2023-01-24,7,SBI Crypto,0.0077519380,89171.6215603736
2023-01-24,0,Foundry USA,0.3565891473,4101894.5837249872
2023-01-24,9,BTC.com,0.0232558140,267514.8646811207
2023-01-24,2,Unknown,0.0077519380,89171.6215603736
2023-01-24,6,Mara Pool,0.0155038760,178343.2431207472
2023-01-24,4,F2Pool,0.1240310078,1426745.9426653492
2023-01-24,12,Kucoin,0.0155038760,178343.2431207472
2023-01-24,5,Binance Pool,0.1317829457,1515917.5630754088
2023-01-24,1,AntPool,0.1705426357,1961775.6708772769
2023-01-24,3,ViaBTC,0.0697674419,802544.5928930483
2023-01-24,10,Poolin,0.0155038760,178343.2431207472
2023-01-24,8,Braiins Pool,0.0155038760,178343.2431207472
2023-01-25,2,Unknown,0.0057142857,65958.3118354036
2023-01-25,6,Mara Pool,0.0171428571,197874.9355062106
2023-01-25,7,SBI Crypto,0.0114285714,131916.6236708071
2023-01-25,11,BTC M4,0.0057142857,65958.3118354036
2023-01-25,9,BTC.com,0.0171428571,197874.9355062106
2023-01-25,4,F2Pool,0.1942857143,2242582.6081750728
2023-01-25,5,Binance Pool,0.1428571429,1648957.8005021708
2023-01-25,1,AntPool,0.1657142857,1912791.0478437848
2023-01-25,0,Foundry USA,0.2914285714,3363873.9116854742
2023-01-25,10,Poolin,0.0342857143,395749.8721666918
2023-01-25,3,ViaBTC,0.0742857143,857458.0561687871
2023-01-25,12,Kucoin,0.0114285714,131916.6236708071
2023-01-25,8,Braiins Pool,0.0171428571,197874.9355062106
2023-01-26,5,Binance Pool,0.0838709677,971215.5138853453
2023-01-26,8,Braiins Pool,0.0451612903,522962.1997844167
2023-01-26,3,ViaBTC,0.0967741935,1120633.2852523215
2023-01-26,0,Foundry USA,0.3612903226,4183697.6005913094
2023-01-26,1,AntPool,0.1548387097,1793013.2575617023
2023-01-26,9,BTC.com,0.0322580645,373544.4284174406
2023-01-26,10,Poolin,0.0129032258,149417.7713669762
2023-01-26,6,Mara Pool,0.0258064516,298835.5427339524
2023-01-26,7,SBI Crypto,0.0193548387,224126.6570504643
2023-01-26,4,F2Pool,0.1354838710,1568886.6005112380
2023-01-26,2,Unknown,0.0258064516,298835.5427339524
2023-01-27,6,Mara Pool,0.0064935065,75477.0895908620
2023-01-27,10,Poolin,0.0194805195,226431.2687725859
2023-01-27,4,F2Pool,0.1233766234,1434064.7010640299
2023-01-27,3,ViaBTC,0.0909090909,1056679.2531097203
2023-01-27,1,AntPool,0.2012987013,2339789.7749920264
2023-01-27,5,Binance Pool,0.1363636364,1585018.8802457538
2023-01-27,11,BTC M4,0.0064935065,75477.0895908620
2023-01-27,8,Braiins Pool,0.0194805195,226431.2687725859
2023-01-27,7,SBI Crypto,0.0194805195,226431.2687725859
2023-01-27,0,Foundry USA,0.3636363636,4226717.0124388812
2023-01-28,9,BTC.com,0.0357142857,416589.0936205727
2023-01-28,2,Unknown,0.0059523810,69431.5161866535
2023-01-28,5,Binance Pool,0.0833333333,972041.2184480031
2023-01-28,4,F2Pool,0.1250000000,1458061.8282552292
2023-01-28,1,AntPool,0.2142857143,2499534.5628898856
2023-01-28,3,ViaBTC,0.0892857143,1041472.7346346565
2023-01-28,0,Foundry USA,0.3392857143,3957596.3911451148
2023-01-28,8,Braiins Pool,0.0238095238,277726.0624137151
2023-01-28,6,Mara Pool,0.0178571429,208294.5473935111
2023-01-28,7,SBI Crypto,0.0238095238,277726.0624137151
2023-01-28,10,Poolin,0.0059523810,69431.5161866535
2023-01-29,5,Binance Pool,0.1428571429,1676207.5879451875
2023-01-29,7,SBI Crypto,0.0062111801,72878.5904741355
2023-01-29,6,Mara Pool,0.0124223602,145757.1809482709
2023-01-29,8,Braiins Pool,0.0248447205,291514.3630698872
2023-01-29,1,AntPool,0.2049689441,2404993.4950332325
2023-01-29,4,F2Pool,0.1118012422,1311814.6332278196
2023-01-29,2,Unknown,0.0124223602,145757.1809482709
2023-01-29,9,BTC.com,0.0186335404,218635.7725957517
2023-01-29,10,Poolin,0.0310559006,364392.9535440226
2023-01-29,12,Kucoin,0.0186335404,218635.7725957517
2023-01-29,11,BTC M4,0.0062111801,72878.5904741355
2023-01-29,3,ViaBTC,0.0993788820,1166057.4522795486
2023-01-29,0,Foundry USA,0.3105590062,3643929.5377869164
2023-01-30,4,F2Pool,0.1594202899,1883459.5239797556
