date,miner_id,pool_name,blocks_mined,block_count,cost_per_block,daily_share,cost_usd_per_day
2025-01-12,7,SBI Crypto,1,143,164994.5862057180,0.0069930070,164994.5862057180
2025-01-12,8,Braiins Pool,1,143,164994.5862057180,0.0069930070,164994.5862057180
2025-01-12,9,BTC.com,1,143,164994.5862057180,0.0069930070,164994.5862057180
2025-01-12,11,Carbon Negative,2,143,164994.5862057180,0.0139860140,329989.1724114360
2025-01-13,0,Foundry USA,40,112,209770.5814008465,0.3571428571,8390823.2560338620
2025-01-13,1,AntPool,24,112,209770.5814008465,0.2142857143,5034493.9536203165
2025-01-13,3,ViaBTC,16,112,209770.5814008465,0.1428571429,3356329.3024135446
2025-01-13,4,F2Pool,16,112,209770.5814008465,0.1428571429,3356329.3024135446
2025-01-13,6,MARA Pool,8,112,209770.5814008465,0.0714285714,1678164.6512067723
2025-01-13,7,SBI Crypto,3,112,209770.5814008465,0.0267857143,629311.7442025396
2025-01-13,8,Braiins Pool,1,112,209770.5814008465,0.0089285714,209770.5814008465
2025-01-13,9,BTC.com,3,112,209770.5814008465,0.0267857143,629311.7442025396
2025-01-13,11,Carbon Negative,1,112,209770.5814008465,0.0089285714,209770.5814008465
2025-01-14,0,Foundry USA,53,136,176398.7357229549,0.3897058824,9349132.9933166094
2025-01-14,1,AntPool,29,136,176398.7357229549,0.2132352941,5115563.3359656921
2025-01-14,3,ViaBTC,24,136,176398.7357229549,0.1764705882,4233569.6573509183
2025-01-14,4,F2Pool,20,136,176398.7357229549,0.1470588235,3527974.7144590979
2025-01-14,5,Binance Pool,2,136,176398.7357229549,0.0147058824,352797.4714459098
2025-01-14,6,MARA Pool,4,136,176398.7357229549,0.0294117647,705594.9428918196
2025-01-14,7,SBI Crypto,1,136,176398.7357229549,0.0073529412,176398.7357229549
2025-01-14,8,Braiins Pool,2,136,176398.7357229549,0.0147058824,352797.4714459098
2025-01-14,11,Carbon Negative,1,136,176398.7357229549,0.0073529412,176398.7357229549
2025-01-15,0,Foundry USA,42,123,197901.4866186244,0.3414634146,8311862.4379822258
2025-01-15,1,AntPool,28,123,197901.4866186244,0.2276422764,5541241.6253214832
2025-01-15,3,ViaBTC,23,123,197901.4866186244,0.1869918699,4551734.1922283620
2025-01-15,4,F2Pool,14,123,197901.4866186244,0.1138211382,2770620.8126607416
2025-01-15,5,Binance Pool,2,123,197901.4866186244,0.0162601626,395802.9732372488
2025-01-15,6,MARA Pool,9,123,197901.4866186244,0.0731707317,1781113.3795676199
2025-01-15,7,SBI Crypto,2,123,197901.4866186244,0.0162601626,395802.9732372488
2025-01-15,9,BTC.com,2,123,197901.4866186244,0.0162601626,395802.9732372488
2025-01-15,11,Carbon Negative,1,123,197901.4866186244,0.0081300813,197901.4866186244
2025-01-16,0,Foundry USA,33,108,220296.0752338830,0.3055555556,7269770.4827181380
2025-01-16,1,AntPool,25,108,220296.0752338830,0.2314814815,5507401.8808470741
2025-01-16,3,ViaBTC,18,108,220296.0752338830,0.1666666667,3965329.3542098934
2025-01-16,4,F2Pool,15,108,220296.0752338830,0.1388888889,3304441.1285082446
2025-01-16,5,Binance Pool,4,108,220296.0752338830,0.0370370370,881184.3009355318
2025-01-16,6,MARA Pool,8,108,220296.0752338830,0.0740740741,1762368.6018710637
2025-01-16,7,SBI Crypto,2,108,220296.0752338830,0.0185185185,440592.1504677659
2025-01-16,11,Carbon Negative,3,108,220296.0752338830,0.0277777778,660888.2257016489
2025-01-17,0,Foundry USA,58,140,171450.8533064893,0.4142857143,9944149.4917763788
2025-01-17,1,AntPool,25,140,171450.8533064893,0.1785714286,4286271.3326622322
2025-01-17,3,ViaBTC,16,140,171450.8533064893,0.1142857143,2743213.6529038288
2025-01-17,4,F2Pool,23,140,171450.8533064893,0.1642857143,3943369.6260492541
2025-01-17,5,Binance Pool,3,140,171450.8533064893,0.0214285714,514352.5599194679
2025-01-17,6,MARA Pool,7,140,171450.8533064893,0.0500000000,1200155.9731454251
2025-01-17,7,SBI Crypto,1,140,171450.8533064893,0.0071428571,171450.8533064893
2025-01-17,8,Braiins Pool,4,140,171450.8533064893,0.0285714286,685803.4132259572
2025-01-17,10,Poolin,1,140,171450.8533064893,0.0071428571,171450.8533064893
2025-01-17,11,Carbon Negative,2,140,171450.8533064893,0.0142857143,342901.7066129786
2025-01-18,0,Foundry USA,43,119,200272.5800556772,0.3613445378,8611720.9423941169
2025-01-18,1,AntPool,26,119,200272.5800556772,0.2184873950,5207087.0814476060
2025-01-18,3,ViaBTC,18,119,200272.5800556772,0.1512605042,3604906.4410021887
2025-01-18,4,F2Pool,21,119,200272.5800556772,0.1764705882,4205724.1811692202
2025-01-18,5,Binance Pool,2,119,200272.5800556772,0.0168067227,400545.1601113543
2025-01-18,6,MARA Pool,5,119,200272.5800556772,0.0420168067,1001362.9002783857
2025-01-18,7,SBI Crypto,1,119,200272.5800556772,0.0084033613,200272.5800556772
2025-01-18,9,BTC.com,1,119,200272.5800556772,0.0084033613,200272.5800556772
2025-01-18,10,Poolin,1,119,200272.5800556772,0.0084033613,200272.5800556772
2025-01-18,11,Carbon Negative,1,119,200272.5800556772,0.0084033613,200272.5800556772
2025-01-19,0,Foundry USA,55,137,170274.3442375080,0.4014598540,9365088.9330629371
2025-01-19,1,AntPool,36,137,170274.3442375080,0.2627737226,6129876.3925502868
2025-01-19,3,ViaBTC,16,137,170274.3442375080,0.1167883212,2724389.5078001274
2025-01-19,4,F2Pool,16,137,170274.3442375080,0.1167883212,2724389.5078001274
2025-01-19,5,Binance Pool,3,137,170274.3442375080,0.0218978102,510823.0327125239
2025-01-19,6,MARA Pool,6,137,170274.3442375080,0.0437956204,1021646.0654250478
2025-01-19,7,SBI Crypto,1,137,170274.3442375080,0.0072992701,170274.3442375080
2025-01-19,8,Braiins Pool,2,137,170274.3442375080,0.0145985401,340548.6884750159
2025-01-19,10,Poolin,1,137,170274.3442375080,0.0072992701,170274.3442375080
2025-01-19,11,Carbon Negative,1,137,170274.3442375080,0.0072992701,170274.3442375080
2025-01-20,0,Foundry USA,53,131,182438.5996924731,0.4045801527,9669245.7837010752
2025-01-20,1,AntPool,25,131,182438.5996924731,0.1908396947,4560964.9923118278
2025-01-20,3,ViaBTC,21,131,182438.5996924731,0.1603053435,3831210.5935419351
2025-01-20,4,F2Pool,17,131,182438.5996924731,0.1297709924,3101456.1947720428
2025-01-20,5,Binance Pool,3,131,182438.5996924731,0.0229007634,547315.7990774193
2025-01-20,6,MARA Pool,3,131,182438.5996924731,0.0229007634,547315.7990774193
2025-01-20,7,SBI Crypto,1,131,182438.5996924731,0.0076335878,182438.5996924731
2025-01-20,8,Braiins Pool,6,131,182438.5996924731,0.0458015267,1094631.5981548387
2025-01-20,9,BTC.com,1,131,182438.5996924731,0.0076335878,182438.5996924731
2025-01-20,10,Poolin,1,131,182438.5996924731,0.0076335878,182438.5996924731
2025-01-21,0,Foundry USA,43,116,201716.1122910649,0.3706896552,8673792.8285157923
2025-01-21,1,AntPool,26,116,201716.1122910649,0.2241379310,5244618.9195676884
2025-01-21,3,ViaBTC,19,116,201716.1122910649,0.1637931034,3832606.1335302335
2025-01-21,4,F2Pool,17,116,201716.1122910649,0.1465517241,3429173.9089481039
2025-01-21,6,MARA Pool,7,116,201716.1122910649,0.0603448276,1412012.7860374544
2025-01-21,8,Braiins Pool,1,116,201716.1122910649,0.0086206897,201716.1122910649
2025-01-21,10,Poolin,1,116,201716.1122910649,0.0086206897,201716.1122910649
2025-01-21,11,Carbon Negative,2,116,201716.1122910649,0.0172413793,403432.2245821299
2025-01-22,0,Foundry USA,34,133,177903.5832705724,0.2556390977,6048721.8311994597
2025-01-22,1,AntPool,28,133,177903.5832705724,0.2105263158,4981300.3315760260
2025-01-22,3,ViaBTC,26,133,177903.5832705724,0.1954887218,4625493.1650348809
2025-01-22,4,F2Pool,25,133,177903.5832705724,0.1879699248,4447589.5817643087
2025-01-22,5,Binance Pool,3,133,177903.5832705724,0.0225563910,533710.7498117171
2025-01-22,6,MARA Pool,8,133,177903.5832705724,0.0601503759,1423228.6661645789
2025-01-22,7,SBI Crypto,2,133,177903.5832705724,0.0150375940,355807.1665411447
2025-01-22,8,Braiins Pool,3,133,177903.5832705724,0.0225563910,533710.7498117171
2025-01-22,9,BTC.com,4,133,177903.5832705724,0.0300751880,711614.3330822894
2025-01-23,0,Foundry USA,38,110,216834.5482034688,0.3454545455,8239712.8317318149
2025-01-23,1,AntPool,22,110,216834.5482034688,0.2000000000,4770360.0604763143
2025-01-23,3,ViaBTC,18,110,216834.5482034688,0.1636363636,3903021.8676624387
2025-01-23,4,F2Pool,17,110,216834.5482034688,0.1545454545,3686187.3194589699
2025-01-23,5,Binance Pool,3,110,216834.5482034688,0.0272727273,650503.6446104065
2025-01-23,6,MARA Pool,5,110,216834.5482034688,0.0454545455,1084172.7410173442
2025-01-23,8,Braiins Pool,4,110,216834.5482034688,0.0363636364,867338.1928138753
2025-01-23,9,BTC.com,1,110,216834.5482034688,0.0090909091,216834.5482034688
2025-01-23,10,Poolin,1,110,216834.5482034688,0.0090909091,216834.5482034688
2025-01-23,11,Carbon Negative,1,110,216834.5482034688,0.0090909091,216834.5482034688
2025-01-24,0,Foundry USA,35,122,193553.4487838670,0.2868852459,6774370.7074353443
2025-01-24,1,AntPool,26,122,193553.4487838670,0.2131147541,5032389.6683805417
2025-01-24,3,ViaBTC,23,122,193553.4487838670,0.1885245902,4451729.3220289405
2025-01-24,4,F2Pool,14,122,193553.4487838670,0.1147540984,2709748.2829741375
