date,pool_name,revenue_usd,cost_usd,Pi_usd
2024-07-09,MARA Pool,370898.3550102493,286924.2405430214,83974.11446722789
2024-07-09,SBI Crypto,184822.29064666235,143462.1202715107,41360.17037515165
2024-07-09,SECPOOL,205075.12558814572,0.0,205075.12558814572
2024-07-09,SpiderPool,1689598.6483214754,0.0,1689598.6483214754
2024-07-09,ViaBTC,5079256.816927831,3873477.247330789,1205779.5695970417
2024-07-09,WhitePool,184675.43274841993,0.0,184675.43274841993
2024-07-10,AntPool,7524800.903261392,6291804.434658657,1232996.4686027355
2024-07-10,BTC.com,750214.1592285462,629180.4434658657,121033.71576268051
2024-07-10,Binance Pool,564837.5089561287,471885.3325993993,92952.17635672941
2024-07-10,Braiins Pool,374773.4620220134,314590.2217329328,60183.2402890806
2024-07-10,F2Pool,2254719.6310559227,1887541.3303975968,367178.3006583259
2024-07-10,Foundry USA,6018018.381274619,5033443.547726925,984574.8335476937
2024-07-10,Luxor,932762.075912253,0.0,932762.075912253
2024-07-10,MARA Pool,750150.1919388792,629180.4434658657,120969.74847301352
2024-07-10,SBI Crypto,1119629.3766265514,943770.6651987984,175858.71142775298
2024-07-10,SECPOOL,183456.18112498423,0.0,183456.18112498423
2024-07-10,SpiderPool,1336975.5902374554,0.0,1336975.5902374554
2024-07-10,ViaBTC,3560824.788056701,2988607.106462862,572217.6815938391
2024-07-10,WhitePool,184504.174515863,0.0,184504.174515863
2024-07-11,AntPool,7410244.431589266,5904803.790530881,1505440.6410583854
2024-07-11,BTC.com,555872.3451942126,442860.2842898161,113012.06090439652
2024-07-11,Binance Pool,375336.90627197083,295240.1895265441,80096.7167454267
2024-07-11,Braiins Pool,367235.9304879975,295240.1895265441,71995.74096145335
2024-07-11,F2Pool,919086.0908809844,738100.4738163601,180985.61706462433
2024-07-11,Foundry USA,7568195.001520734,6052423.885294153,1515771.116226581
2024-07-11,Luxor,732021.9279752821,0.0,732021.9279752821
2024-07-11,MARA Pool,916364.4427677658,738100.4738163601,178263.96895140572
2024-07-11,OCEAN,182413.04824594603,0.0,182413.04824594603
2024-07-11,Poolin,374773.8815938699,295240.1895265441,79533.69206732576
2024-07-11,SBI Crypto,560027.0108907137,442860.2842898161,117166.72660089756
2024-07-11,SECPOOL,369780.198615442,0.0,369780.198615442
2024-07-11,SpiderPool,365881.7848200799,0.0,365881.7848200799
2024-07-11,ULTIMUSPOOL,182264.29955301184,0.0,182264.29955301184
2024-07-11,ViaBTC,4806623.4790689545,3838122.463845073,968501.0152238817
2024-07-11,WhitePool,183545.16644904556,0.0,183545.16644904556
2024-07-12,AntPool,7635807.955665853,5773739.6400827,1862068.3155831527
2024-07-12,Binance Pool,188420.8035351858,140822.9180507976,47597.885484388215
2024-07-12,Braiins Pool,748955.8267626432,563291.6722031903,185664.1545594529
2024-07-12,F2Pool,4321052.94766911,3238927.115168344,1082125.832500766
2024-07-12,Foundry USA,7303771.215518401,5492093.803981105,1811677.4115372961
2024-07-12,Luxor,924704.4700073927,0.0,924704.4700073927
2024-07-12,MARA Pool,1674365.3612929566,1267406.2624571782,406959.0988357784
2024-07-12,Poolin,184572.98806397908,140822.9180507976,43750.07001318148
2024-07-12,SBI Crypto,374431.052150797,281645.8361015951,92785.2160492019
2024-07-12,SECPOOL,380741.23201601626,0.0,380741.23201601626
2024-07-12,SpiderPool,749231.7499694766,0.0,749231.7499694766
2024-07-12,ViaBTC,3546619.5389278755,2675635.4429651536,870984.0959627219
2024-07-13,AntPool,8125997.973426087,5533811.139774053,2592186.8336520335
