Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2024-06-17,23201.527578058918,38250.75702340327,72868.23084252492
2024-06-18,23314.6216550298,38332.44316110062,73036.14881297159
2024-06-19,23394.72152716031,38359.79019502225,73100.65521588335
2024-06-20,23546.822348349167,38479.744568371396,72667.00931664817
2024-06-21,23755.324162847544,38691.44137172083,72400.68910082476
2024-06-22,23949.607131070457,38853.96158383768,71854.06849107287
2024-06-23,24046.113667626363,38832.29935478992,70340.74400887592
2024-06-24,24123.588187048063,38858.60380857099,68829.978812677
2024-06-25,24166.60382314873,38857.17439707454,67370.71236149126
2024-06-26,24251.188415022392,38922.38422176452,66023.0939047131
2024-06-27,24346.41431101091,39030.55408128886,65423.75071643776
2024-06-28,24414.3599191659,39094.581734926636,64743.51506845771
2024-06-29,24451.944596517333,39054.17111304187,63744.442960757595
2024-06-30,24472.654924865677,39009.27558291426,63358.15285049445
2024-07-01,24470.747348093963,38921.62693053431,62915.16564121724
2024-07-02,24547.065480496203,38958.9224572334,62676.243263067874
2024-07-03,24605.63231799941,38967.36596454317,62388.42925033251
2024-07-04,24628.10882385357,38918.47293992963,62008.06169534675
2024-07-05,24481.28892734952,38585.0632316495,60783.785169723975
2024-07-06,24314.192764806106,38297.093741382894,59945.02017858295
2024-07-07,24160.310109797425,38029.955646000686,59138.89415075981
2024-07-08,24027.437357410145,37803.00867728591,58385.341543588554
2024-07-09,23888.545526811646,37566.55238678252,57616.21597021187
2024-07-10,23696.991317615455,37247.26585965156,56719.72276218963
2024-07-11,23556.493804879887,37008.28236407026,55946.67278658973
2024-07-12,23580.493624695508,37045.98713099272,56003.67235865183
2024-07-13,23545.120591049017,36990.414547563865,55919.66140374141
2024-07-14,23557.827894328693,37010.37827696076,55949.841249030644
2024-07-15,23561.249224293937,37015.753336019334,55957.96690769809
2024-07-16,23564.779057253305,37021.2988580287,55966.3502609766
2024-07-17,23597.109678219847,37089.61119450751,56464.78449842472
