2025-12-30 17:44:08,666 - INFO - Collected 790028: Pool=Foundry USA, Score=100
2025-12-30 17:44:09,461 - INFO - Collected 790029: Pool=MARA Pool, Score=97.76
2025-12-30 17:44:10,661 - INFO - Collected 790030: Pool=F2Pool, Score=100
2025-12-30 17:44:11,604 - INFO - Collected 790031: Pool=AntPool, Score=99.07
2025-12-30 17:44:12,459 - INFO - Collected 790032: Pool=Binance Pool, Score=98.78
2025-12-30 17:44:13,336 - INFO - Collected 790033: Pool=ViaBTC, Score=99.11
2025-12-30 17:44:14,387 - INFO - Collected 790034: Pool=F2Pool, Score=98.46
2025-12-30 17:44:15,557 - INFO - Collected 790035: Pool=AntPool, Score=100
2025-12-30 17:44:16,572 - INFO - Collected 790036: Pool=ViaBTC, Score=98.47
2025-12-30 17:44:17,995 - INFO - Collected 790037: Pool=AntPool, Score=98.19
2025-12-30 17:44:19,114 - INFO - Collected 790038: Pool=AntPool, Score=100
2025-12-30 17:44:20,160 - INFO - Collected 790039: Pool=Poolin, Score=99.09
2025-12-30 17:44:21,073 - INFO - Collected 790040: Pool=F2Pool, Score=99.39
2025-12-30 17:44:21,932 - INFO - Collected 790041: Pool=Foundry USA, Score=98.56
2025-12-30 17:44:23,421 - INFO - Collected 790042: Pool=Binance Pool, Score=99.97
2025-12-30 17:44:24,673 - INFO - Collected 790043: Pool=ViaBTC, Score=98.09
2025-12-30 17:44:25,613 - INFO - Collected 790044: Pool=MARA Pool, Score=98
2025-12-30 17:44:26,803 - INFO - Collected 790045: Pool=AntPool, Score=100
2025-12-30 17:44:27,630 - INFO - Collected 790046: Pool=Binance Pool, Score=99.27
2025-12-30 17:44:29,044 - INFO - Collected 790047: Pool=Foundry USA, Score=100
2025-12-30 17:44:29,893 - INFO - Collected 790048: Pool=AntPool, Score=100
2025-12-30 17:44:30,868 - INFO - Collected 790049: Pool=AntPool, Score=100
2025-12-30 17:44:31,720 - INFO - Collected 790050: Pool=AntPool, Score=99.97
2025-12-30 17:44:33,081 - INFO - Collected 790051: Pool=Foundry USA, Score=98.03
2025-12-30 17:44:34,101 - INFO - Collected 790052: Pool=Binance Pool, Score=97.72
2025-12-30 17:44:35,047 - INFO - Collected 790053: Pool=Foundry USA, Score=100
2025-12-30 17:44:36,498 - INFO - Collected 790054: Pool=AntPool, Score=97.34
2025-12-30 17:44:37,488 - INFO - Collected 790055: Pool=F2Pool, Score=99.87
2025-12-30 17:44:38,311 - INFO - Collected 790056: Pool=AntPool, Score=100
2025-12-30 17:44:39,119 - INFO - Collected 790057: Pool=AntPool, Score=100
2025-12-30 17:44:39,948 - INFO - Collected 790058: Pool=ViaBTC, Score=98.55
2025-12-30 17:44:41,119 - INFO - Collected 790059: Pool=AntPool, Score=98.73
2025-12-30 17:44:42,076 - INFO - Collected 790060: Pool=Foundry USA, Score=98.39
2025-12-30 17:44:43,101 - INFO - Collected 790061: Pool=Foundry USA, Score=98.84
2025-12-30 17:44:43,968 - INFO - Collected 790062: Pool=Binance Pool, Score=100
2025-12-30 17:44:45,268 - INFO - Collected 790063: Pool=Binance Pool, Score=100
2025-12-30 17:44:46,196 - INFO - Collected 790064: Pool=ViaBTC, Score=100
2025-12-30 17:44:47,278 - INFO - Collected 790065: Pool=MARA Pool, Score=97.85
2025-12-30 17:44:48,154 - INFO - Collected 790066: Pool=Binance Pool, Score=97.65
2025-12-30 17:44:49,031 - INFO - Collected 790067: Pool=Foundry USA, Score=99.84
2025-12-30 17:44:49,847 - INFO - Collected 790068: Pool=Foundry USA, Score=99.5
2025-12-30 17:44:51,864 - INFO - Collected 790069: Pool=BTC.com, Score=99.66
2025-12-30 17:44:52,720 - INFO - Collected 790070: Pool=Foundry USA, Score=98.56
2025-12-30 17:44:53,530 - INFO - Collected 790071: Pool=F2Pool, Score=98.4
2025-12-30 17:44:54,347 - INFO - Collected 790072: Pool=Binance Pool, Score=97.86
2025-12-30 17:44:55,251 - INFO - Collected 790073: Pool=F2Pool, Score=97.88
2025-12-30 17:44:56,101 - INFO - Collected 790074: Pool=F2Pool, Score=98.32
2025-12-30 17:44:56,993 - INFO - Collected 790075: Pool=ViaBTC, Score=98.77
2025-12-30 17:44:57,835 - INFO - Collected 790076: Pool=Binance Pool, Score=98.29
2025-12-30 17:44:58,669 - INFO - Collected 790077: Pool=AntPool, Score=97.53
2025-12-30 17:44:59,557 - INFO - Collected 790078: Pool=BTC.com, Score=98.72
2025-12-30 17:45:00,414 - INFO - Collected 790079: Pool=ViaBTC, Score=99.08
2025-12-30 17:45:01,299 - INFO - Collected 790080: Pool=AntPool, Score=99.93
2025-12-30 17:45:02,160 - INFO - Collected 790081: Pool=AntPool, Score=99.88
2025-12-30 17:45:03,042 - INFO - Collected 790082: Pool=F2Pool, Score=99.72
2025-12-30 17:45:03,893 - INFO - Collected 790083: Pool=AntPool, Score=99.76
2025-12-30 17:45:04,805 - INFO - Collected 790084: Pool=Foundry USA, Score=99.73
2025-12-30 17:45:05,672 - INFO - Collected 790085: Pool=AntPool, Score=99.58
2025-12-30 17:45:06,460 - INFO - Collected 790086: Pool=AntPool, Score=99.38
2025-12-30 17:45:07,293 - INFO - Collected 790087: Pool=Binance Pool, Score=98.88
2025-12-30 17:45:08,115 - INFO - Collected 790088: Pool=AntPool, Score=98.84
2025-12-30 17:45:08,923 - INFO - Collected 790089: Pool=PEGA Pool, Score=98.95
2025-12-30 17:45:09,789 - INFO - Collected 790090: Pool=Foundry USA, Score=98.4
2025-12-30 17:45:10,629 - INFO - Collected 790091: Pool=Foundry USA, Score=98.49
2025-12-30 17:45:11,700 - INFO - Collected 790092: Pool=Foundry USA, Score=98.38
2025-12-30 17:45:12,521 - INFO - Collected 790093: Pool=Foundry USA, Score=98.51
2025-12-30 17:45:13,355 - INFO - Collected 790094: Pool=Foundry USA, Score=98.8
2025-12-30 17:45:14,203 - INFO - Collected 790095: Pool=F2Pool, Score=98.99
2025-12-30 17:45:14,985 - INFO - Collected 790096: Pool=ViaBTC, Score=98.41
2025-12-30 17:45:15,849 - INFO - Collected 790097: Pool=Foundry USA, Score=99.17
2025-12-30 17:45:16,674 - INFO - Collected 790098: Pool=AntPool, Score=98.59
2025-12-30 17:45:17,547 - INFO - Collected 790099: Pool=Foundry USA, Score=98.79
2025-12-30 17:45:17,667 - INFO - Saved progress up to height 790099
2025-12-30 17:45:18,417 - INFO - Collected 790100: Pool=Binance Pool, Score=97.62
2025-12-30 17:45:19,282 - INFO - Collected 790101: Pool=Binance Pool, Score=97.78
2025-12-30 17:45:20,159 - INFO - Collected 790102: Pool=F2Pool, Score=98.64
2025-12-30 17:45:21,215 - INFO - Collected 790103: Pool=AntPool, Score=98.41
